,fraud_bool,credit_risk_score,current_address_months_count,log_zip_count_4w,zip_count_4w,date_of_birth_distinct_emails_4w,bank_branch_count_8w,income,month,customer_age,bank_months_count,proposed_credit_limit,device_distinct_emails_8w,housing_status_BA,employment_status_CA,source_INTERNET,phone_mobile_valid,device_os_windows,keep_alive_session,email_is_free,log_prev_address_months_count
690710,0,0.3631484794275492,0.23076923076923078,0.7795148795643632,0.18226600985221672,0.3333333333333333,0.0,0.5,0.0,0.125,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,0,0.0
417290,0,0.7388193202146691,0.07459207459207459,0.7676524555221432,0.1662934766383042,0.48717948717948717,0.0,0.875,0.14285714285714285,0.125,0.0,0.6858638743455497,0.6666666666666666,True,True,True,1,True,1,1,0.0
906565,0,0.4221824686940966,0.10023310023310024,0.8775097566946019,0.38856545753097477,0.28205128205128205,0.002935010482180293,0.6250000000000001,0.5714285714285714,0.25,0.06060606060606061,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.9854238651874949
14044,0,0.4919499105545617,0.05361305361305361,0.769611165148572,0.1688311688311688,0.05128205128205128,0.0,0.875,1.0,0.5,0.0,0.005235602094240843,0.6666666666666666,False,False,True,1,False,1,0,0.0
643225,0,0.3416815742397138,0.23310023310023312,0.7820329321516863,0.18584863412449618,0.41025641025641024,0.0033542976939203353,1.0,0.0,0.125,0.06060606060606061,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,0,0.0
475717,0,0.7298747763864043,0.3776223776223776,0.8271264567300324,0.26332288401253917,0.05128205128205128,0.0004192872117400419,1.0,0.14285714285714285,0.5,0.0,0.6858638743455497,0.6666666666666666,True,True,True,1,False,0,1,0.0
674604,0,0.5509838998211092,0.05827505827505827,0.8742853323921208,0.3790117928048962,0.4615384615384615,0.0,0.7500000000000001,0.0,0.25,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.6537310971942516
397342,0,0.38998211091234347,0.016317016317016316,0.7624410438392862,0.1597253321391252,0.1794871794871795,0.01970649895178197,0.5,0.14285714285714285,0.5,0.9090909090909091,0.005235602094240843,0.6666666666666666,False,True,True,1,True,1,1,0.5536203846000464
172532,0,0.629695885509839,0.8648018648018648,0.9154603889344332,0.5208240035826243,0.41025641025641024,0.005870020964360586,1.0,0.42857142857142855,0.375,0.6363636363636364,0.42408376963350797,0.6666666666666666,False,True,True,1,False,1,1,0.0
786812,0,0.40608228980322003,0.13986013986013987,0.7517387783002984,0.1470368711748022,0.2564102564102564,0.005031446540880503,0.25,0.7142857142857142,0.25,0.06060606060606061,0.42408376963350797,0.6666666666666666,False,True,True,1,False,1,1,0.0
950916,0,0.6171735241502683,0.22144522144522144,0.8872369943261823,0.41886848783400504,0.2564102564102564,0.010482180293501047,0.6250000000000001,0.5714285714285714,0.25,0.7878787878787878,0.42408376963350797,0.6666666666666666,False,False,True,1,True,0,0,0.0
453640,0,0.5849731663685152,0.1655011655011655,0.7180573295029903,0.11330049261083744,0.5128205128205128,0.0004192872117400419,0.6250000000000001,0.14285714285714285,0.25,0.48484848484848486,0.6858638743455497,1.0,False,False,True,1,True,0,1,0.0
903960,0,0.7906976744186047,0.26107226107226106,0.9351950852525391,0.606508434094641,0.10256410256410256,0.005031446540880503,0.125,0.5714285714285714,0.375,0.06060606060606061,0.42408376963350797,0.6666666666666666,True,True,True,1,False,0,0,0.0
897847,0,0.5581395348837209,0.11421911421911422,0.8576527962005746,0.3333333333333333,0.3846153846153846,0.0041928721174004195,1.0,0.5714285714285714,0.625,0.48484848484848486,0.005235602094240843,0.6666666666666666,False,True,True,1,True,0,1,0.0
908835,0,0.5652951699463327,0.07459207459207459,0.7383383226243225,0.13255709807433944,0.28205128205128205,0.005031446540880503,1.0,0.5714285714285714,0.125,0.06060606060606061,0.16230366492146603,0.6666666666666666,False,True,True,1,False,0,0,0.0
694591,0,0.6243291592128801,0.011655011655011656,0.761956727184337,0.15912822809374533,0.28205128205128205,0.0,0.6250000000000001,0.0,0.375,0.0,0.005235602094240843,0.6666666666666666,False,True,True,0,True,1,0,0.44329740604620366
76795,0,0.4740608228980322,0.06526806526806528,0.7448660455123111,0.13942379459620838,0.23076923076923075,0.0,0.875,1.0,0.375,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,1,0.0
128530,0,0.7298747763864043,0.08857808857808858,0.7825514279789115,0.18659501418122104,0.1794871794871795,0.0989517819706499,0.875,0.42857142857142855,0.25,0.48484848484848486,0.6858638743455497,0.6666666666666666,False,True,True,1,False,0,1,0.0
255484,0,0.5348837209302326,0.24475524475524477,0.7387742075175074,0.13300492610837436,0.10256410256410256,0.0041928721174004195,1.0,0.2857142857142857,0.125,0.48484848484848486,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.0
837545,0,0.4561717352415027,0.7296037296037297,0.6386311384166152,0.06120316465144051,0.3333333333333333,0.750943396226415,0.6250000000000001,0.7142857142857142,0.125,0.9393939393939394,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,0,0.0
990340,0,0.5402504472271914,0.009324009324009324,0.7933681305697952,0.20286609941782352,0.4615384615384615,0.0037735849056603774,0.875,0.5714285714285714,0.125,0.8787878787878788,0.16230366492146603,0.6666666666666666,False,True,True,1,False,0,1,0.559729263768595
5298,0,0.6100178890876565,0.3333333333333333,0.7602472307975604,0.15703836393491563,0.10256410256410256,0.0067085953878406705,0.6250000000000001,1.0,0.375,0.06060606060606061,0.41884816753926707,0.6666666666666666,True,True,True,1,False,0,0,0.0
344689,0,0.3291592128801431,0.10256410256410257,0.8884774792890217,0.4228989401403194,0.3333333333333333,0.0,0.5,0.2857142857142857,0.25,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,0,0.0
113641,0,0.7960644007155635,0.35198135198135194,0.6494688177227814,0.06657710105985969,0.28205128205128205,0.007127882599580713,0.7500000000000001,0.42857142857142855,0.375,0.06060606060606061,0.6858638743455497,0.6666666666666666,True,True,True,1,True,1,0,0.0
305914,0,0.5116279069767442,0.05827505827505827,0.7820329321516863,0.18584863412449618,0.1794871794871795,0.016352201257861635,0.875,0.2857142857142857,0.375,0.06060606060606061,0.005235602094240843,0.6666666666666666,False,True,True,0,True,0,1,0.0
926315,0,0.5670840787119857,0.20512820512820512,0.8429939382749764,0.2976563666218839,0.1794871794871795,0.0041928721174004195,1.0,0.5714285714285714,0.375,0.06060606060606061,0.005235602094240843,0.6666666666666666,True,True,True,1,False,1,1,0.0
255280,0,0.5134168157423972,0.06293706293706294,0.8092959563598876,0.2294372294372294,0.1794871794871795,0.012578616352201257,0.0,0.2857142857142857,0.375,0.21212121212121213,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.5768262794035196
97976,1,0.778175313059034,0.337995337995338,0.8401712238145819,0.29123749813404987,0.3333333333333333,0.0004192872117400419,1.0,0.42857142857142855,0.25,0.9696969696969697,0.6858638743455497,0.6666666666666666,True,True,True,1,True,0,0,0.0
283219,0,0.552772808586762,0.009324009324009324,0.769611165148572,0.1688311688311688,0.3333333333333333,0.0033542976939203353,0.6250000000000001,0.2857142857142857,0.25,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,1,0.7752279315352152
739205,0,0.6189624329159213,0.07925407925407926,0.9210566755430764,0.5438125093297507,0.3333333333333333,0.25073375262054504,1.0,0.0,0.25,0.06060606060606061,0.6858638743455497,0.6666666666666666,True,True,True,1,True,1,0,0.0
620567,1,0.7567084078711985,0.14918414918414918,0.7540800268565334,0.14972383937901176,0.358974358974359,0.0,0.875,0.0,0.375,0.0,0.6858638743455497,0.6666666666666666,False,False,True,0,True,0,1,0.0
118663,0,0.5670840787119857,0.11655011655011656,0.8260949405689026,0.2612330198537095,0.20512820512820512,0.0,1.0,0.42857142857142855,0.25,0.0,0.16230366492146603,0.6666666666666666,False,True,True,1,False,0,0,0.49459409132076504
743031,0,0.4364937388193202,0.5897435897435898,0.732838359672459,0.1270338856545753,0.07692307692307693,0.0016771488469601676,0.6250000000000001,0.0,0.125,0.3939393939393939,0.005235602094240843,0.6666666666666666,False,False,True,0,False,0,0,0.0
649377,0,0.37924865831842575,0.006993006993006993,0.8237059148671231,0.25645618749067023,0.358974358974359,0.0037735849056603774,0.6250000000000001,0.0,0.125,0.06060606060606061,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.5406928026325899
884006,0,0.59391771019678,0.5174825174825175,0.7841968189183985,0.18898343036274068,0.1282051282051282,0.006289308176100628,1.0,0.5714285714285714,0.625,0.0,0.005235602094240843,0.6666666666666666,False,False,True,0,False,0,0,0.0
682888,0,0.4400715563506261,0.11655011655011656,0.9309483595390701,0.586953276608449,0.05128205128205128,0.0037735849056603774,0.6250000000000001,0.0,0.5,0.48484848484848486,0.005235602094240843,0.6666666666666666,False,False,True,0,False,1,1,0.0
127580,0,0.6779964221824687,0.13752913752913754,0.78920809293243,0.19644723092998953,0.28205128205128205,0.0,0.0,0.42857142857142855,0.5,0.06060606060606061,0.41884816753926707,0.6666666666666666,False,True,True,1,True,1,1,0.0
255109,0,0.5456171735241503,0.29137529137529133,0.7712022971800646,0.17092103298999847,0.3846153846153846,0.0,0.375,0.2857142857142857,0.5,0.0,0.16230366492146603,0.6666666666666666,True,True,True,1,False,0,0,0.0
358001,0,0.6833631484794276,0.025641025641025644,0.7965655162937557,0.20794148380355273,0.2564102564102564,0.0,0.125,0.2857142857142857,0.25,0.0,0.42408376963350797,0.6666666666666666,False,True,True,1,False,1,1,0.5536203846000464
960541,0,0.46332737030411447,0.5967365967365967,0.8260949405689026,0.2612330198537095,0.15384615384615385,0.0004192872117400419,0.6250000000000001,0.5714285714285714,0.375,0.0,0.005235602094240843,0.6666666666666666,False,True,True,0,False,1,0,0.0
35583,0,0.5867620751341682,0.1351981351981352,0.7040538344376552,0.10165696372592924,0.10256410256410256,0.0,0.375,1.0,0.375,0.0,0.42408376963350797,0.6666666666666666,False,True,True,1,True,0,0,0.0
626028,0,0.49731663685152055,0.19347319347319347,0.799776608683079,0.21316614420062693,0.20512820512820512,0.0037735849056603774,0.0,0.0,0.5,0.7878787878787878,0.005235602094240843,0.6666666666666666,False,False,True,1,True,1,1,0.0
918691,0,0.4347048300536672,0.20046620046620048,0.637369078492527,0.0606060606060606,0.10256410256410256,0.0,0.125,0.5714285714285714,0.5,0.0,0.005235602094240843,0.6666666666666666,False,False,True,1,False,0,1,0.0
779705,0,0.7423971377459749,0.2167832167832168,0.8909682699743161,0.43110912076429314,0.41025641025641024,0.050733752620545074,0.875,0.7142857142857142,0.125,0.8787878787878788,0.6858638743455497,0.6666666666666666,False,True,True,1,False,1,0,0.0
676634,0,0.43828264758497315,0.06526806526806528,0.8156228518132784,0.24093148231079262,0.15384615384615385,0.006289308176100628,1.0,0.0,0.375,0.06060606060606061,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,1,0.0
166530,0,0.4203935599284436,0.09090909090909091,0.9179248702732922,0.5308254963427377,0.4358974358974359,0.0,1.0,0.42857142857142855,0.5,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,1,0.0
388383,0,0.32737030411449014,0.19813519813519814,0.8416230781354961,0.29452157038363935,0.3333333333333333,0.0004192872117400419,0.7500000000000001,0.14285714285714285,0.25,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,0,0.0
210896,0,0.4508050089445438,0.07459207459207459,0.7852146862608136,0.19047619047619047,0.10256410256410256,0.007127882599580713,0.6250000000000001,0.42857142857142855,0.25,0.06060606060606061,0.005235602094240843,0.6666666666666666,True,False,True,1,True,0,0,0.0
884464,0,0.3613595706618962,0.09557109557109558,0.8524461407336602,0.32019704433497537,0.23076923076923075,0.8205450733752621,0.6250000000000001,0.5714285714285714,0.125,0.6363636363636364,0.16230366492146603,0.6666666666666666,False,True,True,1,False,1,0,0.0
656618,0,0.5992844364937389,0.13986013986013987,0.9612809545128663,0.74175250037319,0.358974358974359,0.19664570230607967,0.7500000000000001,0.0,0.25,0.48484848484848486,0.6858638743455497,0.6666666666666666,False,False,True,1,False,0,0,0.0
604178,0,0.4883720930232558,0.2494172494172494,0.8023782825105257,0.21749514852963125,0.10256410256410256,0.005031446540880503,0.0,0.8571428571428571,0.125,0.9393939393939394,0.005235602094240843,1.0,False,True,True,1,False,1,0,0.0
349303,0,0.7441860465116279,0.10955710955710957,0.811467009307898,0.2333184057321988,0.05128205128205128,0.010062893081761006,0.875,0.2857142857142857,0.5,0.21212121212121213,0.16230366492146603,0.6666666666666666,False,True,True,1,False,1,0,0.0
742861,0,0.6261180679785331,0.030303030303030304,0.8366053396852484,0.28332586953276606,0.23076923076923075,0.0067085953878406705,0.7500000000000001,0.0,0.125,0.7878787878787878,0.16230366492146603,0.6666666666666666,False,True,True,1,True,1,1,0.962517313851878
479150,0,0.4221824686940966,0.24242424242424243,0.8416230781354961,0.29452157038363935,0.15384615384615385,0.0,0.0,0.14285714285714285,0.25,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.0
614596,0,0.6493738819320214,0.11188811188811189,0.763284269695188,0.16077026421854007,0.1794871794871795,0.0004192872117400419,0.7500000000000001,0.8571428571428571,0.125,0.0,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,0,0.8427809102478744
319033,0,0.3434704830053667,0.023310023310023312,0.7478755307286108,0.14270786684579786,0.23076923076923075,0.018029350104821804,0.7500000000000001,0.2857142857142857,0.25,0.9393939393939394,0.005235602094240843,0.6666666666666666,False,True,True,1,True,1,1,0.6356517649358341
756472,0,0.8711985688729875,0.18414918414918416,0.7021439967705887,0.10016420361247948,0.3846153846153846,0.0041928721174004195,1.0,0.7142857142857142,0.25,0.09090909090909091,0.6858638743455497,0.6666666666666666,False,True,True,1,False,1,1,0.0
855519,0,0.4776386404293381,0.004662004662004662,0.7476048090569526,0.1424093148231079,0.28205128205128205,0.005450733752620545,0.7500000000000001,0.7142857142857142,0.125,0.8787878787878788,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.6731344510813141
260502,0,0.33452593917710194,0.06993006993006994,0.7961934195287576,0.20734437975817283,0.02564102564102564,0.0004192872117400419,0.0,0.2857142857142857,0.625,0.0,0.005235602094240843,0.6666666666666666,False,False,True,0,False,1,0,0.0
329955,0,0.16457960644007155,0.31002331002331,0.8058832427284999,0.22346618898343035,0.20512820512820512,0.0004192872117400419,0.0,0.2857142857142857,0.125,0.0,0.005235602094240843,0.6666666666666666,True,True,True,1,False,0,0,0.0
27081,0,0.5259391771019678,0.011655011655011656,0.7166887085283516,0.11210628452007762,0.23076923076923075,0.0004192872117400419,1.0,1.0,0.25,0.0,0.16230366492146603,0.6666666666666666,False,True,True,1,False,1,0,0.6820556092406296
280949,0,0.6547406082289804,0.07226107226107227,0.7964725921524621,0.20779220779220778,0.3333333333333333,0.0,0.125,0.2857142857142857,0.375,0.0,0.6858638743455497,0.6666666666666666,True,True,True,1,True,0,0,0.0
450164,0,0.5062611806797853,0.04195804195804195,0.6767190886599289,0.08225108225108226,0.15384615384615385,0.011320754716981131,0.5,0.14285714285714285,0.0,0.0,0.42408376963350797,0.6666666666666666,False,True,True,1,False,0,0,0.6019439716693104
949453,0,0.4490161001788909,0.11188811188811189,0.8815272302327256,0.40080609046126286,0.1282051282051282,0.0,1.0,0.5714285714285714,0.5,0.0,0.005235602094240843,0.6666666666666666,False,False,True,1,True,1,0,0.0
546210,0,0.670840787119857,0.16317016317016317,0.6994220694443385,0.0980743394536498,0.1794871794871795,0.0025157232704402514,0.6250000000000001,0.8571428571428571,0.25,0.06060606060606061,0.16230366492146603,0.6666666666666666,True,True,True,1,False,0,0,0.0
745027,0,0.23434704830053665,0.013986013986013988,0.9134771419148945,0.5129123749813405,0.41025641025641024,0.0033542976939203353,0.125,0.0,0.25,0.06060606060606061,0.6858638743455497,0.6666666666666666,False,True,True,1,False,1,1,0.6502675587401441
154959,0,0.590339892665474,0.6456876456876457,0.9343311111477731,0.6024779817883266,0.1282051282051282,0.41341719077568134,0.5,0.42857142857142855,0.375,0.36363636363636365,0.005235602094240843,0.6666666666666666,False,True,True,0,False,1,0,0.0
395813,0,0.665474060822898,0.1351981351981352,0.6925635946983467,0.09299895506792058,0.20512820512820512,0.279664570230608,0.0,0.14285714285714285,0.5,0.12121212121212122,0.6858638743455497,0.6666666666666666,True,True,True,1,True,0,1,0.0
452713,0,0.45259391771019675,0.22377622377622378,0.8194161938408973,0.24809673085535153,0.15384615384615385,0.0016771488469601676,0.6250000000000001,0.14285714285714285,0.375,0.21212121212121213,0.005235602094240843,0.6666666666666666,False,True,True,1,False,0,1,0.0
907895,0,0.5957066189624329,0.289044289044289,0.8037916549067458,0.2198835647111509,0.07692307692307693,0.0004192872117400419,0.0,0.5714285714285714,0.5,0.0,0.16230366492146603,0.6666666666666666,True,True,True,1,True,0,0,0.0
749339,0,0.6565295169946332,0.0606060606060606,0.8064009106160759,0.2243618450515002,0.3846153846153846,0.0025157232704402514,0.5,0.0,0.375,0.12121212121212122,0.005235602094240843,0.6666666666666666,True,False,True,1,True,1,1,0.0
576803,0,0.7119856887298748,0.1724941724941725,0.6738793627670969,0.08045977011494253,0.20512820512820512,0.011320754716981131,0.7500000000000001,0.8571428571428571,0.25,0.9696969696969697,0.6858638743455497,0.6666666666666666,False,True,True,1,False,1,0,0.0
145453,0,0.5778175313059034,0.24242424242424243,0.6743569899502531,0.08075832213763248,0.1794871794871795,0.0,1.0,0.42857142857142855,0.375,0.0,0.6858638743455497,0.6666666666666666,False,True,True,1,False,0,0,0.0
521480,0,0.5438282647584973,0.07692307692307693,0.7423507065139758,0.1367368263919988,0.1794871794871795,0.5555555555555556,0.7500000000000001,0.8571428571428571,0.25,0.06060606060606061,0.005235602094240843,0.6666666666666666,False,True,True,1,False,1,1,0.6637127856906696
